"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20194","11500","강서구","CS300011","일반의류","16424992285","191045","12234459678","4190532607","2071400633","2620245923","2651235121","2576515010","2315062991","2837560304","1352972303","57403237","350264080","3730144945","6456662894","5332122607","498394522","5326330473","10722993345","105215359","1258176769","1814264324","3855177365","4609888122","4406601880","143534","47511","26788","31257","26344","30960","28185","31053","16458","230","4447","43064","70048","65857","7399","57993","132689","1985","18293","22818","48643","51652","47293"
"20194","11500","강서구","CS300019","의료기기","3796219859","14618","3688492175","107727684","1010984030","470162425","1032436585","547843030","627066105","107727684","0","0","413458037","1309060853","1759559174","314141795","0","2545264028","1195392544","256979","198394549","475046535","744881914","1207798554","1114278043","13432","1186","2212","2274","2149","3192","3605","1186","0","0","2531","5472","4859","1756","0","8245","6161","6","906","1541","2714","3168","6071"
"20194","11500","강서구","CS300015","가방","15441556","537","11849418","3592138","2531693","1937730","3835455","1627246","1917294","2909642","682496","0","0","978962","5832595","8042162","587837","3904739","11536817","0","1423823","1633610","3420121","5460412","3503590","386","151","98","44","93","68","83","112","39","0","0","60","177","286","14","231","306","0","53","98","141","125","120"
"20194","11530","구로구","CS200037","노래방","5142275722","136921","3365587709","1776688013","460710713","725571871","625862789","693297626","860144710","983524663","793163350","2434393498","88744093","26224096","118595310","670178420","1804140305","3819977509","767878863","39465114","626695472","1002032643","1466844187","1041921634","410897325","91109","45812","15554","19450","16932","17578","21595","24391","21421","35180","1609","4590","11001","34964","49577","88316","45464","11523","58378","24848","18017","14639","6365"
"20194","11530","구로구","CS300018","의약품","39531467431","2749166","33980949772","5550517659","8059306181","7293417136","5560665423","6096269026","6971292006","4921057877","629459782","103264","7703718695","11823269513","11812620707","7864053339","327701913","19888501955","19377780460","84670299","3183861601","6548073462","8600489619","9192098685","11657088751","2332428","416738","571858","484105","376577","422574","477314","358701","58037","17","515080","736020","795751","674150","28148","1306212","1439898","15713","341524","624865","651703","545679","566633"
"20194","11530","구로구","CS200019","PC방","3864600386","849187","2456767394","1407832992","468457804","503018340","461509666","477356215","546425369","723757012","684075980","623770339","215939229","409217704","655219997","1191916765","768536352","3171670543","692929843","346253770","2408891145","596401741","322523441","164007233","26523056","547215","301972","103932","111175","105087","106102","120919","154845","147127","128079","46148","94389","158356","263310","158905","673195","175992","118502","494032","111776","77583","41135","6159"
"20194","11530","구로구","CS300014","신발","513633973","15776","346180628","167453345","50224830","59494429","77686240","74740433","84034696","90582935","76870410","0","29376752","115893168","183104423","169630491","15629139","165883306","344489297","471395","43218595","85158873","95610492","123902409","162010837","10645","5131","1849","1960","2503","2043","2290","2992","2139","0","1165","3585","4442","5218","1366","7392","8294","49","1328","2997","3688","3124","4500"
"20194","11530","구로구","CS100003","일식음식점","5835856889","205917","4413155517","1422701372","782726687","913669987","851716793","883363951","981678099","884779521","537921851","294584259","16218015","1396914630","489668979","2073758317","1564712689","3074529026","1807229968","32309207","1245124839","1503932673","1072217637","696322040","331852590","159205","46712","28776","33488","31438","30968","34535","26411","20301","4704","3770","87684","27908","60856","20995","104747","87098","2437","60447","59291","37141","21669","10863"
"20194","11545","금천구","CS300002","편의점","30293707596","5313645","23760591022","6533116574","4737011703","5116384629","4539345188","4556468751","4811380751","3426987677","3106128897","3079470306","6409925101","4672161095","3991202446","7363019647","4777929001","20069459003","9335733663","343395958","8511937240","9315773198","6507981963","3562374964","1163729347","4278319","1035326","848202","923528","813248","832289","861052","550999","484327","441863","1370920","903954","723661","1164093","709154","3458477","1779926","90173","1775469","1649412","1012926","538281","172144"
"20194","11545","금천구","CS300032","가전제품","7371803335","17788","6592818583","778984752","2918976940","1034505498","1185550350","843579078","610206717","353915358","425069394","0","583130041","1496503472","3803792878","1487996509","380435","2792909830","1854751250","864859","480159263","213125088","2001112984","842734180","1109664706","14262","3526","2624","4721","3576","1258","2083","1894","1632","0","1740","6381","5419","4237","11","7753","6929","11","1330","2066","2439","5387","3448"
"20194","11545","금천구","CS200034","여관","1533927506","31443","1003962418","529965088","200575477","205481372","200514945","207039668","190350956","273122425","256842663","443326320","65018145","55708989","89888791","456719818","423265443","1012269723","243709032","13107314","346841730","344353512","307247695","187857905","56570600","20198","11245","3762","4243","4101","4309","3783","5470","5775","8676","1397","1243","2574","9216","8337","21396","5454","340","8017","7011","5994","4251","1242"
"20194","11545","금천구","CS300029","애완동물","337850636","13887","198188298","139662338","36029166","39542399","38491687","33207595","50917451","70506934","69155404","0","11151821","76188735","113867838","121220116","15422126","114731857","223118779","3174157","78400543","61939781","72362166","84934550","37039439","8939","4948","1657","1804","1739","1610","2129","2497","2451","0","336","2983","4390","5567","611","4556","9331","167","2878","2233","3249","3822","1538"
"20194","11560","영등포구","CS200006","일반의원","51310564325","1865983","43652820039","7657744286","10353679536","9509180369","6967363973","7555827386","9266768775","7295614317","362129969","6346603","10908587889","16761598227","14702129725","8904416407","27485474","23143398325","27687240726","90888219","5110128106","11775332839","14116841831","10989543851","8747904213","1625515","240468","401280","341900","251765","289190","341380","233124","7344","50","453932","518288","605059","288429","225","889929","973651","8940","201153","442327","493598","382016","335541"
